,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
2464,Black,2024-09-01,13:31:00,10 min 25 sec,3.70 km,"Rua Assungui, Cursino - São Paulo - SP, 04131-000, BR","Pç. Leonor Kauppa, Jardim da Saúde - São Paulo - SP, 04151-100, BR",16.62,16.62,18.47,-16.62,-1.42,2024-09-01 13:31:00,0 days 00:10:25,3.7,"[-23.6059362, -46.6174368]","[-23.6199652, -46.6275527]"
2465,Black,2024-09-01,13:02:00,21 min 4 sec,6.16 km,"Rua Manuel da Nóbrega, Vila Mariana - São Paulo - SP, 04001-000, BR","Rua do Arraial, Cursino - São Paulo - SP, 04122-030, BR",28.93,27.18,39.51,-34.93,4.58,2024-09-01 13:02:00,0 days 00:21:04,6.16,"[-23.5787477, -46.6595095]","[-23.6030046, -46.6208738]"
2466,Black,2024-09-01,12:41:00,15 min 36 sec,4.63 km,"R. Da Veridiana, Higienópolis - São Paulo - SP, 01238-010, BR","Alameda Itu, Jardim Paulista - Sao Paulo - SP, 01421-001, BR",25.43,21.18,33.78,-31.43,-8.72,2024-09-01 12:41:00,0 days 00:15:36,4.63,"[-23.5426737, -46.6512616]","[-23.5629368, -46.6605335]"
2467,Comfort,2024-09-01,12:26:00,14 min 36 sec,4.26 km,"Rua João Rudge, Casa Verde - São Paulo - SP, 02513-020, BR","Rua Aureliano Coutinho, Santa Cecília - São Paulo - SP, 01224-020, BR",18.44,14.94,29.89,-18.44,9.96,2024-09-01 12:26:00,0 days 00:14:36,4.26,"[-23.5132101, -46.6561835]","[-23.5414625, -46.6531372]"
2468,UberX,2024-08-30,20:05:00,40 min 50 sec,22.66 km,"Av. Jornalista Roberto Marinho, Cidade Monções - São Paulo - SP, 04576-010, BR","R. Embauba, Vila Sacadura Cabral - Santo André - SP, 09060-728, BR",55.54,54.54,59.98,-55.54,4.44,2024-08-30 20:05:00,0 days 00:40:50,22.66,"[-23.6137889, -46.6951601]","[-23.6565346, -46.5530359]"
2469,Comfort,2024-08-30,19:51:00,8 min 14 sec,3.46 km,"Avenida Albert Einstein, Morumbi - São Paulo - SP, 05652-000, BR","Av. Magalhães de Castro, Morumbi - São Paulo - SP, 05676-120, BR",16.46,12.71,22.0,-16.46,2.24,2024-08-30 19:51:00,0 days 00:08:14,3.46,"[-23.5967301, -46.7158458]","[-23.597441, -46.697262]"
2470,Comfort,2024-08-30,19:24:00,14 min 22 sec,4.73 km,"Rua Celso Ramos, Vila Andrade - Sao Paulo - SP, 05734-080, BR","Rua Antônio Júlio dos Santos, Morumbi - Sao Paulo - SP, 05661-020, BR",19.4,15.15,23.53,-19.4,4.13,2024-08-30 19:24:00,0 days 00:14:22,4.73,"[-23.6273598, -46.7467729]","[-23.6087962, -46.7249746]"
2471,Black,2024-08-30,18:17:00,1 hr 1 min,13.84 km,"R. Pamplona, Jardim Paulista - São Paulo - SP, 01405-002, BR","Rua José de Oliveira Coelho, Vila Andrade - São Paulo - SP, 05727-240, BR",63.85,63.85,76.03,-70.85,2.89,2024-08-30 18:17:00,0 days 01:01:00,13.84,"[-23.5694641, -46.6593498]","[-23.6261527, -46.7385961]"
2472,Black,2024-08-30,15:44:00,6 min 33 sec,1.89 km,"Rua Tenente Pena, Bom Retiro - São Paulo - SP, 01127-020, BR","Pç. Da Luz, Luz - São Paulo - SP, 01120-010, BR",11.32,11.32,14.38,-11.32,3.06,2024-08-30 15:44:00,0 days 00:06:33,1.89,"[-23.5270962, -46.6435283]","[-23.5345132, -46.6335527]"
2473,Black,2024-08-30,15:07:00,18 min 28 sec,4.94 km,"Av. Rudge, Bom Retiro - São Paulo - SP, 01134-000, BR","Rua José Paulino, Bom Retiro - São Paulo - SP, 01120-001, BR",24.13,20.13,31.71,-24.13,7.58,2024-08-30 15:07:00,0 days 00:18:28,4.94,"[-23.5228374, -46.6506205]","[-23.5292138, -46.6400182]"
2474,Black,2024-08-30,13:00:00,8 min 15 sec,2.39 km,"Rua Soror Angélica, Santana - São Paulo - SP, 02452-060, BR","Rua Alfredo Pujol, Santana - São Paulo - SP, 02017-010, BR",18.03,15.03,24.49,-18.03,6.46,2024-08-30 13:00:00,0 days 00:08:15,2.39,"[-23.5053163, -46.6421643]","[-23.5002589, -46.6282193]"
2475,Black,2024-08-30,09:12:00,15 min 50 sec,4.36 km,"Rua Cônego Eugênio Leite, Pinheiros - São Paulo - SP, 05414-001, BR","Av. Brigadeiro Faria Lima, Itaim Bibi - São Paulo - SP, 04538-133, BR",24.35,24.35,28.63,-24.35,4.28,2024-08-30 09:12:00,0 days 00:15:50,4.36,"[-23.5592078, -46.6839437]","[-23.587632, -46.6822214]"
